CarParkID,latitude,longitude
HG99,1.3494347,103.8890479
HLM,1.2847578,103.8454908
HRM,1.2875209,103.8213559
HR1,1.3114626,103.8975454
HR2,1.3126325,103.8970287
HR3,1.3139801,103.8963877
HR4,1.3146924,103.8960014
HR5,1.3130186,103.8950993
HVM,1.2898695,103.8277184
H12,1.2919938,103.8274090
H14,1.2885117,103.8324652
H17,1.2881679,103.8278571
H18,1.2889897,103.8269788
H3,1.2910087,103.8325154
H3BL,1.3844717,103.8822400
H3DL,1.3850735,103.8801282
H4,1.2880939,103.8293714
H6,1.2913697,103.8289836
H8,1.2877270,103.8309221
H87L,1.3784968,103.8785962
H93L,1.3798003,103.8807173
JBM,1.2792630,103.8271886
JBM2,1.2802444,103.8252796
JB1,1.3024018,103.8827866
JB2,1.3016276,103.8829967
JB3,1.3005250,103.8842884
JB4,1.3034832,103.8831688
JCM,1.3152530,103.8988560
JCML,1.3151551,103.8986346
JKM,1.2872568,103.8389732
P35L,1.4022419,103.9076225
JKS,1.2881646,103.8396404
JMB1,1.2819349,103.8270175
JMB2,1.2851351,103.8267956
JMB3,1.2825963,103.8255985
JM1,1.3450705,103.7206504
JM10,1.3389487,103.6972875
JM11,1.3417968,103.7041490
JM12,1.3411210,103.6984364
JM13,1.3394709,103.6997449
JM14,1.3424007,103.6987696
JM15,1.3408888,103.7000824
JM16,1.3372156,103.7021230
JM17,1.3353138,103.7040861
JM18,1.3429966,103.6995293
JM19,1.3519737,103.7028211
JM2,1.3439355,103.7049636
JM20,1.3353771,103.7009565
JM21,1.3370746,103.6971779
JM22,1.3447485,103.7025917
JM23,1.3535627,103.7037874
JM24,1.3352875,103.6980598
JM25,1.3443037,103.7006282
JM26,1.3455725,103.7031337
JM27,1.3463048,103.7045845
JM28,1.3353272,103.6956878
JM29,1.3370051,103.6945045
JM3,1.3445890,103.7060668
JM30,1.3504991,103.7038848
JM31,1.3420131,103.6975824
JM32,1.3415999,103.7080809
JM33,1.3356807,103.6924425
JM4,1.3444419,103.7039127
JM5,1.3394851,103.7031426
JM6,1.3392139,103.7017650
JM7,1.3424859,103.7030065
JM8,1.3413443,103.7015026
JM9,1.3386592,103.6968179
JRM,1.3071670,103.8618542
JRTM,1.2893587,103.8103277
JSA1,1.3484179,103.7252129
JSR2,1.3432796,103.7049274
JS1L,1.3410714,103.7059223
JS3L,1.3416674,103.6986099
JS33,1.3351492,103.6936630
JS4L,1.3376995,103.7216184
JS5L,1.3392243,103.6969979
J1,1.3364297,103.7380983
J10,1.3420167,103.7400937
J11,1.3429197,103.7399377
J12,1.3433629,103.7382609
J14,1.3440938,103.7390798
J15,1.3440418,103.7414179
J16,1.3444011,103.7356433
J17,1.3456691,103.7354734
J18,1.3468908,103.7348451
J19,1.3479258,103.7339566
J2,1.3386078,103.7367713
J20,1.3462038,103.7324764
J21,1.3490641,103.7298694
J22,1.3513204,103.7301985
J23,1.3500283,103.7320159
J23M,1.3490192,103.7321332
J24,1.3457326,103.7310609
J25,1.3448640,103.7316456
J26,1.3449219,103.7305968
J27,1.3468873,103.7166694
J29,1.3486262,103.7169183
J3,1.3394948,103.7354848
J32,1.3458067,103.7204749
J33,1.3457745,103.7178799
J34,1.3470677,103.7200857
J35,1.3481172,103.7195176
J36,1.3521719,103.7154564
J37,1.3512960,103.7158018
J38,1.3491181,103.7185855
J39,1.3501575,103.7213475
J4,1.3375302,103.7419026
